timeStamp,Price,Open,High,Low,Vol.,Change %
6-Oct-15,"7,085.93","7,089.70","7,105.08","7,079.24",25.77M,-0.04%
5-Oct-15,"7,089.06","7,109.06","7,127.97","7,084.38",30.69M,-0.23%
2-Oct-15,"7,105.54","7,081.06","7,115.44","7,076.51",27.56M,0.35%
1-Oct-15,"7,080.48","7,053.33","7,086.29","7,050.87",25.95M,0.42%
30-Sep-15,"7,050.87","7,086.66","7,095.75","7,050.87",43.29M,-0.49%
29-Sep-15,"7,085.38","7,082.76","7,099.47","7,078.64",28.70M,0.10%
28-Sep-15,"7,078.64","7,113.15","7,113.70","7,078.64",45.90M,-0.45%
25-Sep-15,"7,110.80","7,120.41","7,127.76","7,106.92",34.54M,-0.06%
23-Sep-15,"7,114.83","7,119.74","7,136.11","7,107.70",29.69M,-0.05%
22-Sep-15,"7,118.38","7,104.88","7,130.29","7,101.22",40.82M,0.20%
21-Sep-15,"7,104.37","7,110.20","7,116.85","7,101.67",15.48M,-0.05%
18-Sep-15,"7,107.87","7,115.08","7,119.77","7,102.37",12.99M,-0.08%
17-Sep-15,"7,113.51","7,138.67","7,147.07","7,109.31",20.70M,-0.33%
16-Sep-15,"7,137.40","7,152.77","7,161.23","7,126.64",18.41M,-0.21%
15-Sep-15,"7,152.43","7,162.36","7,175.54","7,148.25",15.72M,-0.14%
14-Sep-15,"7,162.44","7,154.76","7,166.94","7,153.49",17.54M,0.13%
11-Sep-15,"7,153.49","7,162.86","7,167.95","7,149.55",19.42M,-0.09%
10-Sep-15,"7,159.94","7,187.20","7,189.58","7,157.12",20.61M,-0.32%
9-Sep-15,"7,183.25","7,126.39","7,186.38","7,124.46",21.68M,0.83%
8-Sep-15,"7,124.46","7,149.25","7,157.85","7,121.29",16.72M,-0.35%
7-Sep-15,"7,149.70","7,211.78","7,223.32","7,149.70",16.60M,-0.91%
4-Sep-15,"7,215.11","7,249.74","7,252.60","7,215.11",17.34M,-0.42%
3-Sep-15,"7,245.50","7,240.57","7,262.13","7,239.72",13.06M,0.07%
2-Sep-15,"7,240.39","7,299.15","7,299.20","7,240.39",17.69M,-0.80%
1-Sep-15,"7,298.75","7,306.87","7,326.26","7,298.75",35.55M,-0.11%
31-Aug-15,"7,306.94","7,354.90","7,359.09","7,304.80",27.57M,-0.59%
28-Aug-15,"7,350.52","7,274.73","7,362.53","7,273.14",44.42M,1.06%
27-Aug-15,"7,273.14","7,241.86","7,288.77","7,240.10",32.37M,0.46%
26-Aug-15,"7,240.10","7,229.28","7,287.87","7,228.38",50.00M,0.12%
25-Aug-15,"7,231.58","7,330.62","7,343.71","7,231.58",60.38M,-1.36%
24-Aug-15,"7,331.09","7,471.16","7,473.51","7,324.93",390.86M,-1.87%
21-Aug-15,"7,471.17","7,449.06","7,479.37","7,449.06",43.39M,0.29%
20-Aug-15,"7,449.82","7,498.34","7,500.14","7,445.25",47.49M,-0.65%
19-Aug-15,"7,498.78","7,498.76","7,531.28","7,498.70",87.86M,0.00%
18-Aug-15,"7,498.70","7,501.10","7,526.07","7,492.04",56.71M,0.09%
17-Aug-15,"7,492.04","7,469.75","7,504.18","7,462.34",47.66M,-0.09%
14-Aug-15,"7,498.70","7,501.10","7,526.07","7,492.04",56.71M,0.75%
13-Aug-15,"7,442.75","7,474.87","7,482.52","7,432.55",36.48M,-0.39%
12-Aug-15,"7,471.90","7,458.65","7,490.45","7,458.65",47.90M,0.17%
11-Aug-15,"7,458.92","7,379.99","7,468.74","7,377.94",50.28M,1.10%
10-Aug-15,"7,377.94","7,371.05","7,385.11","7,365.19",44.67M,0.10%
7-Aug-15,"7,370.60","7,380.40","7,392.59","7,368.53",35.47M,-0.09%
6-Aug-15,"7,377.24","7,368.38","7,388.02","7,366.31",78.63M,0.15%
5-Aug-15,"7,366.31","7,315.94","7,379.69","7,310.05",64.73M,0.77%
4-Aug-15,"7,310.05","7,336.55","7,345.18","7,308.15",39.38M,-0.36%
3-Aug-15,"7,336.59","7,334.11","7,358.09","7,327.84",32.43M,0.06%
30-Jul-15,"7,332.05","7,325.50","7,340.24","7,312.76",84.20M,0.25%
29-Jul-15,"7,313.97","7,270.39","7,323.17","7,261.07",54.56M,0.73%
28-Jul-15,"7,261.07","7,247.78","7,275.45","7,245.98",30.75M,0.19%
27-Jul-15,"7,247.23","7,267.12","7,280.59","7,243.01",31.19M,-0.30%
24-Jul-15,"7,269.05","7,214.67","7,269.62","7,212.62",43.22M,0.78%
23-Jul-15,"7,212.62","7,202.62","7,231.08","7,199.63",66.98M,0.18%
22-Jul-15,"7,199.63","7,145.92","7,206.35","7,145.59",45.75M,0.76%
21-Jul-15,"7,145.59","7,148.49","7,158.46","7,144.30",19.14M,-0.03%
20-Jul-15,"7,147.86","7,162.70","7,177.40","7,147.86",26.47M,-0.20%
17-Jul-15,"7,161.96","7,127.48","7,172.67","7,124.14",47.21M,0.53%
16-Jul-15,"7,124.14","7,068.92","7,133.28","7,066.19",35.75M,0.82%
15-Jul-15,"7,066.19","7,030.63","7,085.00","7,027.00",15.88M,0.56%
14-Jul-15,"7,027.00","7,003.96","7,034.80","7,002.78",10.98M,0.61%
13-Jul-15,"6,984.12","6,946.15","6,993.99","6,946.03",32.10M,0.00%
10-Jul-15,"6,984.12","6,946.15","6,993.99","6,946.03",31.93M,0.53%
9-Jul-15,"6,947.05","6,925.33","6,947.05","6,921.64",72.69M,0.34%
8-Jul-15,"6,923.79","6,967.41","6,967.78","6,923.79",12.47M,-0.63%
